kreisstadt209,heidelberg,209,49.416667,8.7,283455,NW
kreisstadt210,ludwigshafen am rhein-oggersheim,210,49.491667,8.373333,451007,NW
kreisstadt211,siegburg,211,50.8,7.2,122308,RP
kreisstadt212,bad neustadt an der saale,212,50.333333,10.216667,547625,BW
kreisstadt213,rosenheim,213,47.85,12.133333,154201,RP
kreisstadt214,gustrow,214,53.8,12.166667,59978,NW
kreisstadt215,rotenburg,215,53.116667,9.4,7969,BY
kreisstadt216,roth,216,49.245,11.091111,260983,BY
kreisstadt217,pfarrkirchen,217,48.433333,12.933333,215113,MV
kreisstadt218,rottweil,218,48.166667,8.616667,163455,NI
kreisstadt219,eisenberg,219,50.966667,11.9,126958,BY
kreisstadt220,merseburg,220,51.366667,12.0,120659,BY
kreisstadt221,schleiz,221,50.583333,11.816667,139455,BW
kreisstadt222,saalfeld,222,50.65,11.366667,83051,TH
kreisstadt223,saarbrucken,223,49.233333,7.0,184582,ST
kreisstadt224,saarlouis,224,49.316667,6.75,80868,TH
kreisstadt225,bad homburg,225,50.216667,8.616667,104142,TH
kreisstadt226,pirna,226,50.966667,13.933333,329708,SL
kreisstadt227,bernburg,227,51.8,11.733333,195201,SL
kreisstadt228,stadthagen,228,52.316667,9.2,142631,SL
kreisstadt229,schleswig,229,54.516667,9.55,245611,SN
kreisstadt230,meiningen,230,50.55,10.416667,19056,ST
kreisstadt231,homberg,231,51.033333,9.4,157781,NI
kreisstadt232,schwandorf,232,49.326389,12.109722,200025,SH
kreisstadt233,villingen-schwenningen,233,48.066667,8.45,125646,TH
kreisstadt234,schwabisch hall,234,49.105833,9.734167,180222,HE
kreisstadt235,schweinfurt,235,50.05,10.233333,147189,BY
kreisstadt236,bad segeberg,236,53.933333,10.316667,212381,BW
kreisstadt237,siegen,237,50.866667,8.033333,195861,BW
kreisstadt238,sigmaringen,238,48.083333,9.216667,115106,BY
kreisstadt239,soest,239,51.583333,8.116667,276032,SH
kreisstadt240,sommerda,240,51.15,11.1,27821,NW
kreisstadt241,sonneberg,241,50.35,11.166667,130873,BW
